AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
4088,Beer,Craft,Foundation Afterglow - 4 Pack,4 Pack,13964927955,4,15.99,Craft Brewers,0,No,,Foundation Afterglow,,,
4089,Beer,Craft,Foundation Burnside Brown - 4 Pack,4 Pack,13964761771,4,13.99,Craft Brewers,0,No,,Foundation Burnside Brown,,,
4090,Beer,Craft,Foundation Cosmic Bloom - 4 Pack,4 Pack,602573184493,4,15.99,Craft brewers,0,No,,Foundation Cosmic Bloom,,,
4091,Beer,Craft,Foundation Epiphany - 4 Pack,4 Pack,13964734768,4,17.99,Craft Brewers,0,No,,Foundation Epiphany,,,
4092,Beer,Craft,Foundation Ras Jam - 4 Pack,4 Pack,602573452295,4,19.99,Craft Brewers,0,No,,Foundation Ras Jam,,,
4093,Beer,Craft,Foundation Riverton Flyer - 4 Pack,4 Pack,602573184400,4,13.99,Craft Brewers,0,No,,Foundation Riverton Flyer,,,
4094,Beer,Craft,Foundation Spark Joy - 4 Pack,4 Pack,602573785225,4,17.99,Craft Brewers,0,No,,Foundation Spark Joy,,,
4095,Beer,Craft,Founderd - 4 Pack,4 Pack,642860020707,4,15.99,Craft Brewers,0,No,,Founderd,,,
4096,Beer,Craft,Founders 4 Giants - 4 Pack,4 Pack,642860200604,4,19.99,Craft Brewers,0,No,,Founders 4 Giants,,,
4097,Beer,Craft,Founders All Day Haze - 6 Pack,6 Pack,642860700838,6,9.99,Craft Brewers,0,No,,Founders All Day Haze,,,
4098,Beer,Craft,Founders All Day IPA - 15 Pack,15 Pack,642860900245,15,17.99,Craft Brewers,0,No,,Founders All Day IPA,,,
4099,Beer,Craft,Founders All Day IPA - 6 Pack,6 Pack,642860200246,6,11.99,Craft Brewers,0,No,,Founders All Day IPA,,,
4100,Beer,Craft,Founders All Day IPA - Single,Single,642860130246,1,3.25,Craft Brewers,0,No,,Founders All Day IPA,,,
4101,Beer,Craft,Founders Backwood Bastard - 4 Pack,4 Pack,642860200376,4,16.99,Craft Brewers,0,No,,Founders Backwood Bastard,,,
4102,Beer,Craft,Founders Blushing Monk - 6 Pack,6 Pack,642860200451,6,16.99,Craft Brewers,0,No,,Founders Blushing Monk,,,
4103,Beer,Craft,Founders Breakfast Stout - 4 Pack,4 Pack,642860200529,4,10.99,Craft Brewers,0,No,,Founders Breakfast Stout,,,
4104,Beer,Craft,Founders CBS - 4 Pack,4 Pack,642860200024,4,24.99,Craft Brewers,0,No,,Founders CBS,,,
4105,Beer,Craft,Founders Centennial - 15 Pack,15 Pack,642860900054,15,17.99,Craft Brewers,0,No,,Founders Centennial,,,
4106,Beer,Craft,Founders Centennial IPA - Single,Single,642860130055,1,3.25,Craft Brewers,0,No,,Founders Centennial IPA,,,
4107,Beer,Craft,Founders Chill Day - 15 Pack,15 Pack,642860900832,15,17.99,Craft Brewers,0,No,,Founders Chill Day,,,
4108,Beer,Craft,Founders Dank Wood Red - 4 Pack,4 Pack,642860200390,4,23.99,Craft Brewers,0,No,,Founders Dank Wood Red,,,
4109,Beer,Craft,Founders Day Variety - 12 Pack,12 Pack,642860801139,12,17.99,Craft Brewers,0,No,,Founders Day Variety,,,
4110,Beer,Craft,Founders Dirty Bastard - 6 Pack,6 Pack,642860200079,6,11.99,Craft Brewers,0,No,,Founders Dirty Bastard,,,
4111,Beer,Craft,Founders Fudge - 4 Pack,4 Pack,642860200635,4,23.99,Craft Brewers,0,No,,Founders Fudge,,,
4112,Beer,Craft,Founders Green Zebra - 15 Pack,15 Pack,642860900252,15,18.99,Craft Brewers,0,No,,Founders Green Zebra,,,
4113,Beer,Craft,Founders KBS Hazel - 4 Pack,4 Pack,642860200970,4,23.99,Craft Brewers,0,No,,Founders KBS Hazel,,,
4114,Beer,Craft,Founders KBS Stout - 4 Pack,4 Pack,642860200321,4,23.99,Craft Brewers,0,No,,Founders KBS Stout,,,
4115,Beer,Craft,Founders Mas Agave - 15 Pack,15 Pack,642860900726,15,18.99,Craft Brewers,0,No,,Founders Mas Agave,,,
